date,author,start_price,end_price,year,tech,decade,dimension,technique,category
2022,Henno Arrak,750.0,750.0,1963.0," linoollõige, paber. ava ",1960.0,1609.28,Linoleum,Graphics
2022,Jüri Arrak,800.0,1100.0,1975.0," värviline puulõige, paber. lm ",1970.0,1494.0,Wood cut,Other
2022,Teadmata Autor,2900.0,3100.0,,"õli, lõuend. ",,4158.0,Oil on canvas,Oil paint
2022,Elmar Kell,800.0,1500.0,1970.0," õli, lõuend. ",1970.0,3827.2,Oil on canvas,Oil paint
2022,Linda Kits-Mägi,4000.0,6100.0,1959.0," õli, lõuend. ",1950.0,8926.74,Oil on canvas,Oil paint
2022,Alfred Kongo,2700.0,2700.0,1970.0," tempera, lõuend. ",1970.0,20900.0,Tempera,Other paint
2022,Eduard Kutsar,1300.0,1500.0,1956.0," õli, vineer. ",1950.0,1148.0,Oil on wood,Oil paint
2022,Arkadio Laigo,800.0,800.0,1936.0," puugravüür, paber. lm ",1930.0,684.0,Wood cut,Other
2022,Ferdinand Liiv,1100.0,1100.0,1943.0," linoollõige, paber. ava ",1940.0,1039.5,Linoleum,Graphics
2022,Eduard Maaser,1200.0,1200.0,1947.0," akvarell, paber. lm ",1940.0,1800.0,Watercolour,Other paint
2022,Eduard Maaser,1200.0,1200.0,1947.0," akvarell, paber. lm ",1940.0,1168.0,Watercolour,Other paint
2022,Kalju Nagel,1200.0,2600.0,1971.0," õli, lõuend. ",1970.0,6506.5,Oil on canvas,Oil paint
2022,Kalju Nagel,2400.0,3200.0,1980.0," õli, lõuend. ",1980.0,7300.0,Oil on canvas,Oil paint
2022,Eugeni Noormägi,1300.0,1300.0,1950.0," õli, lõuend. ",1950.0,4958.0,Oil on canvas,Oil paint
2022,Eugeni Noormägi,2100.0,2100.0,1950.0," õli, lõuend. ",1950.0,4012.0,Oil on canvas,Oil paint
2022,Eugeni Noormägi,1400.0,2200.0,1950.0," õli, lõuend. ",1950.0,2067.0,Oil on canvas,Oil paint
2022,Enno Ootsing,600.0,600.0,1975.0," värviline puulõige, paber. lm ",1970.0,1494.0,Wood cut,Other
2022,Enno Ootsing,600.0,600.0,1975.0," värviline puulõige, paber. lm ",1970.0,1494.0,Wood cut,Other
2022,Louis Pavel,2200.0,2200.0,1957.0," õli, papp. ",1950.0,2175.25,Oil on cardboard,Oil paint
2022,Varmo Pirk,2600.0,4900.0,1965.0," õli, papp. ",1960.0,3500.0,Oil on cardboard,Oil paint
2022,Kaljo Polli,1800.0,2600.0,1983.0," õli, lõuend. ",1980.0,3500.0,Oil on canvas,Oil paint
2022,Harri Pudersell,1200.0,2000.0,1952.0," õli, kartong. ",1950.0,2052.75,Oil on cardboard,Oil paint
2022,Jaan Punga,1500.0,2200.0,2021.0," õli, lõuend. ",2020.0,8040.0,Oil on canvas,Oil paint
2022,Arville Puström-Uus,900.0,1600.0,,"õli, lõuend. ",,3080.5,Oil on canvas,Oil paint
2022,Salme Rida,1300.0,1800.0,1960.0," õli, papp. ",1960.0,3500.0,Oil on cardboard,Oil paint
2022,Eduard Rüga,1400.0,2400.0,1942.0," värviline puugravüür, paber. lm ",1940.0,565.02,Wood cut,Other
2022,Kristjan Teder,8000.0,8800.0,1940.0," õli, lõuend. ",1940.0,4440.0,Oil on canvas,Oil paint
2022,Viktor Turp,3600.0,7700.0,1938.0," tempera, vineer. ",1930.0,9202.0,Tempera,Other paint
2022,Richard Uutmaa,2900.0,3700.0,1972.0," akvarell, paber. ava ",1970.0,3479.0,Watercolour,Other paint
2022,Richard Uutmaa,7600.0,14500.0,1970.0," õli, lõuend. ",1970.0,4800.0,Oil on canvas,Oil paint
2022,Ado Vabbe,300.0,300.0,1950.0," pliiatsijoonistus, paber. lm ",1950.0,370.6,Drawing,Drawing
2022,Edgar Valter,6300.0,7100.0,1983.0," õli, papp. ",1980.0,9030.0,Oil on cardboard,Oil paint
2022,Ants Viidalepp,1900.0,1900.0,1958.0,"õli, lõuend. ",1950.0,5814.0,Oil on canvas,Oil paint
2022,Ants Viidalepp,2600.0,2600.0,1988.0," õli, lõuend. ",1980.0,8800.0,Oil on canvas,Oil paint
2021,Efraim Allsalu,600.0,1100.0,1985.0," õli, lõuend. ",1980.0,1518.0,Oil on canvas,Oil paint
2021,Jüri Arrak,6500.0,12100.0,1973.0," õli, lõuend. ",1970.0,8800.0,Oil on canvas,Oil paint
2021,Jüri Arrak,700.0,1300.0,1991.0," siiditrükk, paber. lm ",1990.0,5014.659999999999,Silk print,Other
2021,Nigul Espe,4000.0,12600.0,1954.0," õli, papp. ",1950.0,3570.0,Oil on cardboard,Oil paint
2021,Saskia Kasemaa,1100.0,1100.0,1985.0," õli, lõuend. ",1980.0,1824.0,Oil on canvas,Oil paint
2021,Albert Kesner,3800.0,3800.0,1962.0," õli, papp. ",1960.0,3500.0,Oil on cardboard,Oil paint
2021,Elmar Kits,5000.0,6600.0,1963.0," tempera, paber. lm ",1960.0,3056.55,Tempera,Other paint
2021,Elmar Kits,11500.0,14500.0,1965.0," õli, lõuend. ",1960.0,4914.0,Oil on canvas,Oil paint
2021,Elmar Kits,12000.0,26000.0,1967.0," õli, papp. ",1960.0,4011.5,Oil on cardboard,Oil paint
2021,Luulik Kokamägi,1900.0,3200.0,1960.0," õli, papp. ",1960.0,2653.5,Oil on cardboard,Oil paint
2021,Raivo Korstnik,1500.0,1500.0,1960.0," õli, kartong. ",1960.0,3096.0,Oil on cardboard,Oil paint
2021,Raivo Korstnik,1600.0,4300.0,1960.0," õli, kartong. ",1960.0,1593.6000000000001,Oil on cardboard,Oil paint
2021,Märt Laarman,600.0,750.0,1964.0," puulõige, paber. ava ",1960.0,1076.75,Wood cut,Other
2021,Elmar Leppik,5200.0,6500.0,1948.0," õli, lõuend. ",1940.0,5880.0,Oil on canvas,Oil paint
