date,author,start_price,end_price,year,tech,decade,dimension,technique,category
2021.0,Jüri Arrak,450.0,1000.0,1967.0,linoollõige,1960.0,2127.25,Linoleum,Graphics
2021.0,Paul Burman,2900.0,4800.0,1920.0,"õli, vineer",1920.0,2352.25,Oil on wood,Oil paint
2021.0,Jaan Grünberg,2300.0,3300.0,1933.0,"õli, paber, dubleeritud papile.",1930.0,1729.0,Oil on cardboard,Oil paint
2021.0,Eerik Haamer,3600.0,5400.0,1943.0,pliiatsijoonistus,1940.0,1026.0,Drawing,Drawing
2021.0,Alo Hoidre,3400.0,7600.0,1992.0,"õli, lõuend",1990.0,8000.0,Oil on canvas,Oil paint
2021.0,Andrus Johani,5600.0,10400.0,1938.0,"segatehnika, dubleeritud papile",1930.0,2193.5,Mixed tech,Other
2021.0,Avo Keerend,350.0,350.0,1960.0,linoollõige,1960.0,930.25,Linoleum,Graphics
2021.0,Miljard Kilk,2200.0,3100.0,2002.0,"õli, lõuend",2000.0,3640.0,Oil on canvas,Oil paint
2021.0,Elmar Kits,3800.0,3800.0,1943.0,"õli, vineer",1940.0,1260.0,Oil on wood,Oil paint
2021.0,Alfred Kongo,2000.0,5000.0,1970.0,"õli, tempera, papp",1970.0,3748.5,Tempera,Other paint
2021.0,Nikolai Kormašov,6500.0,9100.0,1950.0,"õli, lõuend",1950.0,2420.0,Oil on canvas,Oil paint
2021.0,Nikolai Kormašov,4400.0,4400.0,1961.0,"tempera, papp",1960.0,3385.5,Tempera,Other paint
2021.0,Laurentsius,3500.0,4100.0,2007.0,"õli, lõuend",2000.0,3600.0,Oil on canvas,Oil paint
2021.0,Enno Lehis,400.0,700.0,1962.0,akvarell,1960.0,1354.5,Watercolour,Other paint
2021.0,Malle Leis,1600.0,4100.0,1985.0,akvarell,1980.0,3422.25,Watercolour,Other paint
2021.0,Esko Lepp,500.0,500.0,1956.0,tušijoonistus,1950.0,609.0,Drawing,Drawing
2021.0,Valerian Loik,1500.0,2800.0,1970.0,"õli, lõuend",1970.0,1725.0,Oil on canvas,Oil paint
2021.0,Karin Luts,3600.0,5400.0,1952.0,"õli, lõuend",1950.0,4416.5,Oil on canvas,Oil paint
2021.0,Lepo Mikko,4700.0,32000.0,1973.0,"õli, lõuend",1970.0,5134.5,Oil on canvas,Oil paint
2021.0,Lepo Mikko,3900.0,25000.0,1972.0,"õli, lõuend, papp",1970.0,3718.0,Oil on cardboard,Oil paint
2021.0,Olev Mikiver,1500.0,2800.0,1960.0,"õli, lõuend",1960.0,7150.0,Oil on canvas,Oil paint
2021.0,Peeter Mudist,7200.0,16500.0,1972.0,"õli, lõuend",1970.0,4500.0,Oil on canvas,Oil paint
2021.0,Konrad Mägi,48000.0,48500.0,1915.0,"õli, lõuend",1910.0,1280.0,Oil on canvas,Oil paint
2021.0,Ella Mätik,700.0,700.0,1938.0,puugravüür,1930.0,446.5,Wood cut,Other
2021.0,Kalju Nagel,2900.0,2900.0,1966.0,"õli, papp",1960.0,3150.0,Oil on cardboard,Oil paint
2021.0,Valdur Ohakas,900.0,1950.0,1957.0,"õli, papp",1950.0,966.0,Oil on cardboard,Oil paint
2021.0,Evald Okas,700.0,1550.0,1997.0,"õli, papp",1990.0,882.0,Oil on cardboard,Oil paint
2021.0,Jüri Palm,7200.0,7200.0,1987.0,"õli, lõuend",1980.0,17199.0,Oil on canvas,Oil paint
2021.0,Agu Pilt,750.0,2400.0,1989.0,akvarell,1980.0,1524.25,Watercolour,Other paint
2021.0,Kaljo Põllu,3600.0,6600.0,1997.0,"õli, kollaaž, vineer",1990.0,8190.0,Oil on wood,Oil paint
2021.0,Aleksander Remmel,900.0,1000.0,1945.0,"õli, vineer",1940.0,2304.0,Oil on wood,Oil paint
2021.0,Mari Roosvalt,2900.0,2900.0,1991.0,"õli, lõuend",1990.0,7275.0,Oil on canvas,Oil paint
2021.0,Ülo Sooster,3800.0,4100.0,1947.0,"õli, vineer",1940.0,769.5,Oil on wood,Oil paint
2021.0,Rein Tammik,3900.0,6000.0,1998.0,"õli, giclee, lõuend",1990.0,11440.0,Oil on canvas,Oil paint
2021.0,Evi Tihemets,900.0,1200.0,1973.0,"värviline litograafia, söövitus, siiditrükk",1970.0,2850.0,Silk print,Other
2021.0,Richard Uutmaa,7200.0,25000.0,1971.0,"õli, lõuend",1970.0,4860.0,Oil on canvas,Oil paint
2021.0,Richard Uutmaa,2800.0,3600.0,1975.0,akvarell,1970.0,3932.25,Watercolour,Other paint
2021.0,Lüüdia Vallimäe-Mark,2800.0,7000.0,1977.0,"õli, lõuend, papp",1970.0,3381.0,Oil on cardboard,Oil paint
2021.0,Johannes Võerahansu,900.0,1000.0,1971.0,söejoonistus,1970.0,2921.0,Drawing,Drawing
2020.0,Oskar Kallis,1200.0,1200.0,1912.0,akvarell,1910.0,230.0,Watercolour,Other paint
2020.0,Ado Vabbe,900.0,900.0,1920.0,"linoollõige, papp",1920.0,106.25,Linoleum,Graphics
2020.0,Ado Vabbe,1500.0,1600.0,1920.0,linoollõige,1920.0,351.0,Linoleum,Graphics
2020.0,August Kilgas,4750.0,7650.0,1924.0,"õli, lõuend",1920.0,1159.0,Oil on canvas,Oil paint
2020.0,Ülo Sooster,1600.0,3300.0,1940.0,"segatehnika, lõuend",1940.0,648.0,Mixed tech,Other
2020.0,Ado Vabbe,1600.0,2550.0,1940.0,segatehnika,1940.0,700.0,Mixed tech,Other
2020.0,Ülo Sooster,2200.0,4100.0,1954.0,"õli, papp",1950.0,1598.0,Oil on cardboard,Oil paint
2020.0,Nikolai Kormašov,4300.0,7200.0,1959.0,"õli, papp",1950.0,3415.5,Oil on cardboard,Oil paint
2020.0,Ülo Sooster,1000.0,1600.0,1962.0,tušijoonistus,1960.0,412.5,Drawing,Drawing
2020.0,Richard Uutmaa,8200.0,17500.0,1969.0,"õli, vineer",1960.0,3650.0,Oil on wood,Oil paint
2020.0,Ludmilla Siim,5700.0,25500.0,1970.0,"õli, lõuend",1970.0,8977.5,Oil on canvas,Oil paint
2020.0,Valdur Ohakas,950.0,950.0,1960.0,"õli, vineer, kahepoolne",1960.0,1572.5,Oil on wood,Oil paint
2020.0,Märt Bormeister,1200.0,1200.0,1973.0,"õli, papp",1970.0,4000.0,Oil on cardboard,Oil paint
2020.0,Richard Uutmaa,7600.0,10000.0,1974.0,"õli, papp",1970.0,3500.0,Oil on cardboard,Oil paint
2020.0,Tõnis Vint,5000.0,6200.0,1981.0,"tušš, guašš",1980.0,1722.25,Gouache,Other paint
2020.0,Epp-Maria Kokamägi,1500.0,1500.0,1989.0,"segatehnika, paber",1980.0,3249.0,Mixed tech,Other
2020.0,Peeter Mudist,5300.0,6600.0,2000.0,"akvarell, kahepoolne",2000.0,9832.5,Watercolour,Other paint
2020.0,Balder Tomasberg,1500.0,1500.0,1917.0,"akvarell, paber",1910.0,1944.0,Watercolour,Other paint
2020.0,Gregor Alexander Heinrich von Bochmann,1900.0,1900.0,1918.0,"akvarell, paber",1910.0,1800.0,Watercolour,Other paint
2020.0,Eduard Wiiralt,1600.0,1750.0,1918.0,"linoollõige, paber",1910.0,1865.5,Linoleum,Graphics
2020.0,Karl Burman senior,1400.0,1600.0,1920.0,"akvarell, paber",1920.0,2401.25,Watercolour,Other paint
2020.0,Andrei Jegorov,1500.0,1500.0,1920.0,"õli, guašš, papp",1920.0,1433.5,Gouache,Other paint
2020.0,Kristjan Raud,3000.0,4600.0,1920.0,"guašš, pliiats, paber",1920.0,358.75,Gouache,Other paint
2020.0,Hando Mugasto,500.0,500.0,1937.0,"puugravüür, paber",1930.0,475.0,Wood cut,Other
2020.0,Eduard Wiiralt,1700.0,2100.0,1938.0,"pehmelakk, akvatinta",1930.0,1189.5,Aquatint,Graphics
2020.0,Avo Keerend,350.0,350.0,1940.0,"õli, papp",1940.0,341.0,Oil on cardboard,Oil paint
2020.0,Endel Kõks,1600.0,2700.0,1944.0,"õli, papp",1940.0,1113.75,Oil on cardboard,Oil paint
2020.0,Aleksander Remmel,1400.0,3600.0,1946.0,"õli, papp masoniidil",1940.0,10101.0,Oil on cardboard,Oil paint
2020.0,Richard Uutmaa,4800.0,6200.0,1953.0,"õli, papp",1950.0,1323.0,Oil on cardboard,Oil paint
2020.0,Lepo Mikko,15500.0,19000.0,1955.0,"õli, lõuend  ",1950.0,22327.5,Oil on canvas,Oil paint
2020.0,Ülo Sooster,850.0,4100.0,1956.0,"segatehnika, paber",1950.0,513.0,Mixed tech,Other
2020.0,Aleksander Vardi,13500.0,17500.0,1957.0,"õli, lõuend  ",1950.0,19332.0,Oil on canvas,Oil paint
2020.0,Evald Okas,3800.0,3800.0,1958.0,"õli, lõuend  ",1950.0,7300.0,Oil on canvas,Oil paint
2020.0,Richard Uutmaa,9800.0,9800.0,1960.0,"õli, papp",1960.0,3744.0,Oil on cardboard,Oil paint
2020.0,Raivo Korstnik,950.0,1250.0,1964.0,"õli, papp",1960.0,1557.5,Oil on cardboard,Oil paint
2020.0,Olev Subbi,8400.0,9600.0,1965.0,"õli, kartong",1960.0,2040.0,Oil on cardboard,Oil paint
2020.0,Kaljo Põllu,1500.0,1500.0,1967.0,"õli, kartong",1960.0,3266.5,Oil on cardboard,Oil paint
2020.0,Kalju Nagel,950.0,1800.0,1969.0,"õli, papp",1960.0,2990.0,Oil on cardboard,Oil paint
2020.0,Viktor Turp,350.0,350.0,1975.0,"guašš, paber",1970.0,2883.0,Gouache,Other paint
2020.0,Aleksander Pilar,400.0,400.0,1970.0,"akvarell, paber",1970.0,2830.5,Watercolour,Other paint
2020.0,Jaan Toomik,2800.0,3800.0,2003.0,"õli, lõuend  ",2000.0,12000.0,Oil on canvas,Oil paint
2019.0,Eduard Wiiralt,2450.0,2450.0,1920.0,"linoollõige, paber",1920.0,638.0,Linoleum,Graphics
2019.0,Anna Luik-Püümann,900.0,1650.0,1923.0,"õli, papp",1920.0,3036.0,Oil on cardboard,Oil paint
2019.0,Eduard Wiiralt,2000.0,2000.0,1933.0,"puugravüür, paber",1930.0,520.0,Wood cut,Other
2019.0,Viktor Turp,1500.0,2450.0,1930.0,"õli, lõuend",1930.0,6424.0,Oil on canvas,Oil paint
2019.0,Eduard Wiiralt,2600.0,2600.0,1939.0,"puulõige, paber",1930.0,1335.0,Wood cut,Other
2019.0,Kristjan Teder,4300.0,4300.0,1940.0,"õli, vineer",1940.0,3136.5,Oil on wood,Oil paint
2019.0,Varmo Pirk,2200.0,3600.0,1944.0,"õli, lõuend",1940.0,3315.0,Oil on canvas,Oil paint
2019.0,Richard Sagrits,4900.0,5700.0,1958.0,"õli, papp",1950.0,1750.0,Oil on cardboard,Oil paint
2019.0,Lepo Mikko,2200.0,6200.0,1962.0,"õli, papp",1960.0,3500.0,Oil on cardboard,Oil paint
2019.0,Kalju Nagel,3000.0,4000.0,1966.0,"õli, lõuend",1960.0,28425.5,Oil on canvas,Oil paint
2019.0,Malle Leis,13000.0,18100.0,1967.0,"õli, lõuend",1960.0,8050.0,Oil on canvas,Oil paint
2019.0,Jüri Arrak,300.0,300.0,1969.0,"akvatinta, ofort, paber",1960.0,676.0,Aquatint,Graphics
2019.0,Lembit Saarts,1400.0,3700.0,1960.0,"õli, lõuend",1960.0,3190.0,Oil on canvas,Oil paint
2019.0,Malle Leis,2900.0,2900.0,1973.0,"akvarell, paber",1970.0,3422.25,Watercolour,Other paint
2019.0,Aleksander Vardi,3200.0,3200.0,1977.0,"õli, lõuend",1970.0,8100.0,Oil on canvas,Oil paint
2019.0,Ivo Lill,900.0,1250.0,1986.0,"õli, lõuend ",1980.0,8000.0,Oil on canvas,Oil paint
2019.0,Rudolf JuliusMühlen,2500.0,2500.0,,"õli, lõuend",,3503.5,Oil on canvas,Oil paint
2019.0,Hando Mugasto,500.0,500.0,1924.0,"puulõige, paber",1920.0,253.75,Wood cut,Other
2019.0,Eduard Wiiralt,4200.0,9200.0,1926.0,"ofort, akvatinta, paber",1920.0,2686.0,Aquatint,Graphics
2019.0,Andrei Jegorov,1500.0,2500.0,1930.0,"tempera, papp",1930.0,1555.5,Tempera,Other paint
2019.0,Varmo Pirk,550.0,1100.0,1941.0,"õli, vineer",1940.0,1165.25,Oil on wood,Oil paint
2019.0,Arno Vihalemm,800.0,1550.0,1942.0,"õli, lõuend",1940.0,3275.0,Oil on canvas,Oil paint
2019.0,Elmar Leppik,1900.0,2600.0,1942.0,"õli, lõuend",1940.0,5460.0,Oil on canvas,Oil paint
2019.0,Ann Audova,1900.0,1900.0,1947.0,"õli, lõuend",1940.0,840.75,Oil on canvas,Oil paint
2019.0,Ülo Sooster,4800.0,12600.0,1956.0,"õli, lõuend",1950.0,2430.0,Oil on canvas,Oil paint
